qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
A-NP37	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.635	1026	6	8	9	1026	17	1042	0	1810
A-NP34	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.928	1026	4	7	8	1026	17	1042	0	1827
A-NP42	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.627	1020	4	10	2	1011	13	1032	0	1797
A-NP17	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.555	1038	5	10	2	1029	38	1075	0	1825
A-NP31	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__thuringiensis	98.799	999	2	10	5	994	19	1016	0	1770
A-NP08	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.545	1031	8	7	2	1025	41	1071	0	1814
A-NP25	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	98.607	1005	6	8	5	1001	19	1023	0	1772
A-NP04	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.639	1029	4	10	3	1021	39	1067	0	1814
A-NP14	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.244	1025	4	14	7	1017	44	1068	0	1781
A-NP19	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.177	1042	6	13	4	1032	20	1061	0	1807
A-NP27	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.917	1016	5	6	9	1018	17	1032	0	1810
A-NP03	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	98.332	1019	5	12	6	1012	42	1060	0	1777
A-NP32	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.448	1031	7	9	2	1024	13	1042	0	1807
A-NP24	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	98.459	1038	6	10	2	1029	38	1075	0	1820
A-NP29	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__; s__	99.504	1009	2	3	1	1006	20	1028	0	1832
A-NP35	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Aerococcus; s__	98.824	1020	2	10	1	1010	13	1032	0	1808
